"parameter","estimate","standard_error","model_id","sample_id"
"beta_mu",0.580604048054664,0.0502080742022191,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-1.72506655549216,0.0486082759923622,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.0396152438185193,0.0561465565294148,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.251454517412937,0.126142685870605,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-0.0305015014662655,0.120408814082286,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.00603331432118702,0.104612883257151,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-0.263518235505835,0.0861509191643379,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-0.611300021383181,0.123469424892157,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.310103681088885,0.105408286608903,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-0.308750754778119,0.174070308803186,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.161131937066611,0.0390413634303546,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.191370408029473,0.11278800854423,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-0.144705755077482,0.128394189653162,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.32005734458385,0.109842767491084,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.145963304213465,0.135058827947772,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.477272047520028,0.0970761809759792,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-0.172828344506984,0.11297986374682,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.0514772868858762,0.0786018322521657,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.0478148211050963,0.090044532613672,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.663011742726285,0.10879006873702,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.270810728491589,0.127824465810645,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-0.380908266388338,0.101005361280885,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-0.405067947268772,0.115368732258338,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",-0.0502649536429238,0.166877990142871,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.266899500261114,0.185988198976614,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
"beta_mu",0.0105339412696692,0.0461975109510287,"BA-LB-LOSO-IZTECH","LOSO-IZTECH"
