"job_id","analysis_state","included_sites","reference_sites","weighting","estimate","standard_error","conf_low","conf_high","scenario","state_display","primary_estimate","primary_conf_low","primary_conf_high","shift_percentage_points","direction_retained","interval_exclusion_retained"
"LOSO-RISE","Wake outside the three hours before sleep",8,9,"equal remaining eight sites",-0.0511186328954287,0.0145839489008761,-0.0797026474935183,-0.0225346182973391,"LOSO-RISE","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,-0.0251614125085835,TRUE,TRUE
"LOSO-RISE","Pre-sleep",8,9,"equal remaining eight sites",0.0687279822571232,0.0247349766472656,0.0202483188700434,0.117207645644203,"LOSO-RISE","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,0.954816407205027,TRUE,TRUE
"LOSO-RISE","Sleep environment",8,9,"equal remaining eight sites",-0.0650794789178911,0.0147539008626855,-0.0939965932402291,-0.0361623645955532,"LOSO-RISE","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,-0.0169856872951221,TRUE,TRUE
"LOSO-THUAS","Wake outside the three hours before sleep",8,9,"equal remaining eight sites",-0.0548095952886088,0.0142322467778496,-0.0827042863922803,-0.0269149041849373,"LOSO-THUAS","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,-0.394257651826591,TRUE,TRUE
"LOSO-THUAS","Pre-sleep",8,9,"equal remaining eight sites",0.0553669208207715,0.0240032923971044,0.00832133221206281,0.10241250942948,"LOSO-THUAS","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,-0.381289736430143,TRUE,TRUE
"LOSO-THUAS","Sleep environment",8,9,"equal remaining eight sites",-0.0605498722094354,0.014416545899912,-0.0888057829547314,-0.0322939614641393,"LOSO-THUAS","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,0.435974983550452,TRUE,TRUE
"LOSO-BAUA","Wake outside the three hours before sleep",8,9,"equal remaining eight sites",-0.0698601934641374,0.0140688846257086,-0.0974347006331755,-0.0422856862950993,"LOSO-BAUA","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,-1.89931746937945,TRUE,TRUE
"LOSO-BAUA","Pre-sleep",8,9,"equal remaining eight sites",0.057043130604967,0.0247680199316261,0.00849870357060975,0.105587557639324,"LOSO-BAUA","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,-0.213668758010592,TRUE,TRUE
"LOSO-BAUA","Sleep environment",8,9,"equal remaining eight sites",-0.0670369346254708,0.0147019463059302,-0.0958522198877358,-0.0382216493632059,"LOSO-BAUA","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,-0.212731258053091,TRUE,TRUE
"LOSO-MPI","Wake outside the three hours before sleep",8,9,"equal remaining eight sites",-0.0482254319573583,0.0147482838621661,-0.0771315371609771,-0.0193193267537396,"LOSO-MPI","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,0.264158681298457,TRUE,TRUE
"LOSO-MPI","Pre-sleep",8,9,"equal remaining eight sites",0.0674128777134782,0.0256846663501394,0.017071856712277,0.117753898714679,"LOSO-MPI","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,0.82330595284052,TRUE,TRUE
"LOSO-MPI","Sleep environment",8,9,"equal remaining eight sites",-0.0629982158471997,0.0151696273190878,-0.0927301390515067,-0.0332662926428926,"LOSO-MPI","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,0.191140619774023,TRUE,TRUE
"LOSO-TUM","Wake outside the three hours before sleep",8,9,"equal remaining eight sites",-0.0428870047434899,0.0145685532055277,-0.0714408443331798,-0.0143331651538001,"LOSO-TUM","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,0.798001402685294,TRUE,TRUE
"LOSO-TUM","Pre-sleep",8,9,"equal remaining eight sites",0.0632469793367821,0.0241610713182259,0.0158921497251557,0.110601808948408,"LOSO-TUM","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,0.406716115170912,TRUE,TRUE
"LOSO-TUM","Sleep environment",8,9,"equal remaining eight sites",-0.0618775628173022,0.0134533451612909,-0.0882456348050185,-0.0355094908295858,"LOSO-TUM","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,0.303205922763776,TRUE,TRUE
"LOSO-FUSPCEU","Wake outside the three hours before sleep",8,9,"equal remaining eight sites",-0.0390466816840764,0.0153416477520756,-0.0691157587416444,-0.00897760462650837,"LOSO-FUSPCEU","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,1.18203370862665,TRUE,TRUE
"LOSO-FUSPCEU","Pre-sleep",8,9,"equal remaining eight sites",0.0542082279478106,0.0250012162208233,0.00520674458529827,0.103209711310323,"LOSO-FUSPCEU","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,-0.497159023726235,TRUE,TRUE
"LOSO-FUSPCEU","Sleep environment",8,9,"equal remaining eight sites",-0.0699360476668477,0.0150528109807111,-0.0994390150551304,-0.040433080278565,"LOSO-FUSPCEU","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,-0.502642562190779,TRUE,TRUE
"LOSO-IZTECH","Wake outside the three hours before sleep",8,9,"equal remaining eight sites",-0.0541564642055275,0.0153870219377094,-0.0843144730327656,-0.0239984553782895,"LOSO-IZTECH","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,-0.328944543518465,TRUE,TRUE
"LOSO-IZTECH","Pre-sleep",8,9,"equal remaining eight sites",0.066053088899953,0.024950159408198,0.0171516750513518,0.114954502748554,"LOSO-IZTECH","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,0.687327071488009,TRUE,TRUE
"LOSO-IZTECH","Sleep environment",8,9,"equal remaining eight sites",-0.0594432708769505,0.0144138420173059,-0.0876938821097202,-0.0311926596441808,"LOSO-IZTECH","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,0.546635116798939,TRUE,TRUE
"LOSO-UCR","Wake outside the three hours before sleep",8,9,"equal remaining eight sites",-0.0550425304380068,0.0138549392728712,-0.082197712420824,-0.0278873484551896,"LOSO-UCR","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,-0.417551166766395,TRUE,TRUE
"LOSO-UCR","Pre-sleep",8,9,"equal remaining eight sites",0.0479198318691677,0.0227004680655054,0.00342773202857545,0.0924119317097598,"LOSO-UCR","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,-1.12599863159053,TRUE,TRUE
"LOSO-UCR","Sleep environment",8,9,"equal remaining eight sites",-0.0647945798830221,0.0127897454883278,-0.0898620204115782,-0.0397271393544661,"LOSO-UCR","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,0.0115042161917767,TRUE,TRUE
"LOSO-KNUST","Wake outside the three hours before sleep",8,9,"equal remaining eight sites",-0.0423957733786053,0.0154198008210561,-0.0726180276366563,-0.0121735191205543,"LOSO-KNUST","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,0.847124539173757,TRUE,TRUE
"LOSO-KNUST","Pre-sleep",8,9,"equal remaining eight sites",0.0548913213635723,0.0248752471368957,0.00613673286872372,0.103645909858421,"LOSO-KNUST","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,-0.428849682150063,TRUE,TRUE
"LOSO-KNUST","Sleep environment",8,9,"equal remaining eight sites",-0.0723741679083497,0.0145952822597018,-0.100980395481562,-0.0437679403351379,"LOSO-KNUST","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,-0.746454586340981,TRUE,TRUE
"INFLUENCE-1","Wake outside the three hours before sleep",9,9,"equal nine sites",-0.0568728534712284,0.0136542599524561,-0.08363471121359,-0.0301109957288668,"INFLUENCE-1","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,-0.600583470088551,TRUE,TRUE
"INFLUENCE-1","Pre-sleep",9,9,"equal nine sites",0.0587036324146165,0.0232285232243008,0.0131765634809347,0.104230701348298,"INFLUENCE-1","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,-0.0476185770456508,TRUE,TRUE
"INFLUENCE-1","Sleep environment",9,9,"equal nine sites",-0.063005251970111,0.013381438881958,-0.0892323902400727,-0.0367781137001494,"INFLUENCE-1","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,0.19043700748289,TRUE,TRUE
"INFLUENCE-2","Wake outside the three hours before sleep",9,9,"equal nine sites",-0.0505016164149414,0.0138949884478055,-0.0777352933382402,-0.0232679394916426,"INFLUENCE-2","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,0.036540235540148,TRUE,TRUE
"INFLUENCE-2","Pre-sleep",9,9,"equal nine sites",0.0580200249477767,0.0233490538430211,0.0122567203423688,0.103783329553185,"INFLUENCE-2","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,-0.115979323729623,TRUE,TRUE
"INFLUENCE-2","Sleep environment",9,9,"equal nine sites",-0.0650075713611078,0.0136295584651397,-0.0917210150779647,-0.0382941276442509,"INFLUENCE-2","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,-0.00979493161678974,TRUE,TRUE
"INFLUENCE-3","Wake outside the three hours before sleep",9,9,"equal nine sites",-0.0522810453873893,0.0139410084241562,-0.0796049198069049,-0.0249571709678738,"INFLUENCE-3","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,-0.141402661704645,TRUE,TRUE
"INFLUENCE-3","Pre-sleep",9,9,"equal nine sites",0.0616664880217372,0.023349127490731,0.0159030390694703,0.107429936974004,"INFLUENCE-3","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,0.248666983666424,TRUE,TRUE
"INFLUENCE-3","Sleep environment",9,9,"equal nine sites",-0.0643955914679519,0.0129902707370306,-0.0898560542619563,-0.0389351286739474,"INFLUENCE-3","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,0.0514030576988039,TRUE,TRUE
"INFLUENCE-5","Wake outside the three hours before sleep",9,9,"equal nine sites",-0.0530147897391914,0.0138531150034794,-0.0801663962197025,-0.0258631832586803,"INFLUENCE-5","Daytime",-0.0508670187703429,-0.0780191443346177,-0.0237148932060681,-0.214777096884849,TRUE,TRUE
"INFLUENCE-5","Pre-sleep",9,9,"equal nine sites",0.0580298954261422,0.0233779527053097,0.0122099500914544,0.10384984076083,"INFLUENCE-5","Pre-sleep",0.059179818185073,0.0138004439137757,0.10455919245637,-0.11499227589308,TRUE,TRUE
"INFLUENCE-5","Sleep environment",9,9,"equal nine sites",-0.0666487060968034,0.0136736206541796,-0.0934485101172583,-0.0398489020763484,"INFLUENCE-5","Sleep",-0.0649096220449399,-0.0914469665972006,-0.0383722774926792,-0.173908405186346,TRUE,TRUE
