site,participant,participant_order,local_date,weekday,protocol_day,duration_above_250_daytime_h,finite_daytime_samples,samples_above_250,metric_id,metric_source,selection_rule
MPI,MPI_S226,1,2023-11-01,Wed,1,0,22,0,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
MPI,MPI_S226,1,2023-11-02,Thu,2,0.5,20,1,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
MPI,MPI_S226,1,2023-11-03,Fri,3,5,22,10,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
MPI,MPI_S226,1,2023-11-04,Sat,4,0,22,0,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
MPI,MPI_S226,1,2023-11-05,Sun,5,0,22,0,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
BAUA,BAUA_S003,2,2025-06-12,Wed,1,0,36,0,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
BAUA,BAUA_S003,2,2025-06-13,Thu,2,5.5,36,11,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
BAUA,BAUA_S003,2,2025-06-14,Fri,3,2.5,36,5,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
BAUA,BAUA_S003,2,2025-06-15,Sat,4,0,36,0,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
BAUA,BAUA_S003,2,2025-06-16,Sun,5,0.5,36,1,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
MPI,MPI_S227,3,2023-11-01,Wed,1,1.5,22,3,duration_above_250_daytime,Calculated from the displayed gap-timing-unaware 30-minute daytime samples with LightLogR::duration_above_threshold,Seven fixed example participants and study days 2–6; displayed 30-minute values come directly from the gap-timing-unaware dataset
