placement,scope,site,stage_order,stage_branch,stage,participants,participant_days,true_utc_minutes,wall_minutes,finite_medi_minutes,finite_light_minutes
chest,overall,ALL,1,common,aligned_real_minutes,157,1249,1798560,1798440,1481805,1481890
chest,overall,ALL,2,MEDI,precoverage_medi_finite,157,1249,1481805,1481685,1481805,1481805
chest,overall,ALL,3,LIGHT,precoverage_light_finite,157,1249,1481890,1481770,1481805,1481890
chest,overall,ALL,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,154,905,1303200,1303080,1257825,1257907
chest,overall,ALL,5,coverage,primary_day_eligible_real_minutes,154,902,1298880,1298760,1253505,1253587
chest,overall,ALL,6,MEDI,medi_eligible_real_minutes,154,902,1253505,1253385,1253505,1253505
chest,overall,ALL,7,LIGHT,light_eligible_real_minutes,154,902,1253587,1253467,1253505,1253587
chest,overall,ALL,8,hourly_metric,hourly_metric_eligible_real_minutes,154,902,1260360,1260240,1247347,1247429
chest,overall,ALL,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,154,894,1251180,1251060,1238286,1238368
chest,site,BAUA,1,common,aligned_real_minutes,22,163,234720,234720,191588,191595
chest,site,BAUA,2,MEDI,precoverage_medi_finite,22,163,191588,191588,191588,191588
chest,site,BAUA,3,LIGHT,precoverage_light_finite,22,163,191595,191595,191588,191595
chest,site,BAUA,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,20,114,164160,164160,159074,159079
chest,site,BAUA,5,coverage,primary_day_eligible_real_minutes,20,114,164160,164160,159074,159079
chest,site,BAUA,6,MEDI,medi_eligible_real_minutes,20,114,159074,159074,159074,159074
chest,site,BAUA,7,LIGHT,light_eligible_real_minutes,20,114,159079,159079,159074,159079
chest,site,BAUA,8,hourly_metric,hourly_metric_eligible_real_minutes,20,114,159840,159840,158525,158530
chest,site,BAUA,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,20,113,158700,158700,157388,157393
chest,site,FUSPCEU,1,common,aligned_real_minutes,22,174,250680,250560,210380,210382
