placement,data_scenario_id,model_implementation_id,scenario,metric_order,metric_id,analysis_unit,stage,scope,site,model_observations,participants,participant_days,participant_hours,contributing_participant_days,metric_support_missing_observations,metric_support_valid_hours,metric_support_expected_hours,prepared_record_support_missing_observations,prepared_record_valid_melEDI_hours,prepared_record_valid_illuminance_hours,sites,excluded_observations,status
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,site,BAUA,18,18,,,106,18,,,18,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,site,FUSPCEU,23,23,,,127,23,,,23,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,site,IZTECH,17,17,,,102,17,,,17,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,site,KNUST,15,15,,,80,15,,,15,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,site,MPI,26,26,,,150,26,,,26,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,site,RISE,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,site,THUAS,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,site,TUM,10,10,,,60,10,,,10,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,site,UCR,6,6,,,30,6,,,6,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,prepared_rows,overall,ALL,141,141,,,811,141,,,141,,,9,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,site,BAUA,18,18,,,106,18,,,18,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,site,FUSPCEU,23,23,,,127,23,,,23,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,site,IZTECH,17,17,,,102,17,,,17,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,site,KNUST,15,15,,,80,15,,,15,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,site,MPI,26,26,,,150,26,,,26,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,site,RISE,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,site,THUAS,13,13,,,78,13,,,13,,,1,0,AVAILABLE
glasses,alternative_preprocessing,hypothesis_models,all_available,1,interdaily_stability,participant,metric_estimable,site,TUM,10,10,,,60,10,,,10,,,1,0,AVAILABLE
