placement,light_source,hours,participants,participant_days,sites,category_order,category_code,short_label,pooled_estimable
Near-eye,Electric light source indoors,4629,138,695,9,1,electric_indoor,Indoor electric,TRUE
Near-eye,Electric light source outdoors,203,54,118,9,2,electric_outdoor,Outdoor electric,TRUE
Near-eye,Daylight indoors,4804,138,692,9,3,daylight_indoor,Indoor daylight,TRUE
Near-eye,Daylight outdoors (including shade),1557,135,512,9,4,daylight_outdoor,Outdoor daylight,TRUE
Near-eye,Emissive display light,664,88,235,9,5,display,Emissive display,TRUE
Near-eye,Darkness during sleep,5225,130,712,9,6,sleep_darkness,Sleep darkness,TRUE
Near-eye,Light entering from outside during sleep,853,66,233,9,7,sleep_external_light,External light during sleep,TRUE
Chest,Electric light source indoors,5468,149,765,8,1,electric_indoor,Indoor electric,TRUE
Chest,Electric light source outdoors,219,59,129,8,2,electric_outdoor,Outdoor electric,TRUE
Chest,Daylight indoors,4979,148,741,8,3,daylight_indoor,Indoor daylight,TRUE
Chest,Daylight outdoors (including shade),1686,145,554,8,4,daylight_outdoor,Outdoor daylight,TRUE
Chest,Emissive display light,861,97,275,8,5,display,Emissive display,TRUE
Chest,Darkness during sleep,5540,142,767,8,6,sleep_darkness,Sleep darkness,TRUE
Chest,Light entering from outside during sleep,759,63,225,7,7,sleep_external_light,External light during sleep,TRUE
