data_scenario_id,placement,flow_order,flow_stage,one_hour_observations,removed_at_stage
main,glasses,1,source_one_hour_rows,19584,
main,glasses,2,admissible_outcome,18953,631
main,glasses,3,plus_work_free_day,18187,766
main,glasses,4,plus_binary_activity,16596,1591
main,glasses,5,complete_three_core_predictors,16596,0
main,chest,1,source_one_hour_rows,21648,
main,chest,2,admissible_outcome,21004,644
main,chest,3,plus_work_free_day,20241,763
main,chest,4,plus_binary_activity,18352,1889
main,chest,5,complete_three_core_predictors,18352,0
gap_timing_unaware,glasses,1,source_one_hour_rows,19176,
gap_timing_unaware,glasses,2,admissible_outcome,18605,571
gap_timing_unaware,glasses,3,plus_work_free_day,17839,766
gap_timing_unaware,glasses,4,plus_binary_activity,16329,1510
gap_timing_unaware,glasses,5,complete_three_core_predictors,16329,0
gap_timing_unaware,chest,1,source_one_hour_rows,21288,
gap_timing_unaware,chest,2,admissible_outcome,20702,586
gap_timing_unaware,chest,3,plus_work_free_day,19939,763
gap_timing_unaware,chest,4,plus_binary_activity,18112,1827
gap_timing_unaware,chest,5,complete_three_core_predictors,18112,0
