Metric,Unit,Participants,Days,Observations,Support hours,Sites,Status
Interdaily stability,Participant,0,0,0,Unavailable,0,Non estimable
Intradaily variability,Participant,0,0,0,Unavailable,0,Non estimable
Mean melEDI,Participant-day,112,640,640,Unavailable,8,Fitted
Brightest 10 h mean,Participant-day,112,640,640,Unavailable,8,Fitted
Darkest 10 h mean,Participant-day,112,640,640,Unavailable,8,Fitted
"Time above 1,000 lx melEDI",Participant-day,112,640,640,Unavailable,8,Fitted
Time above 250 lx melEDI during wake,Participant-day,111,592,592,Unavailable,8,Fitted
Time below 10 lx melEDI before sleep,Participant-day,112,615,615,Unavailable,8,Fitted
Time below 1 lx melEDI during sleep,Participant-day,112,621,621,Unavailable,8,Fitted
Longest continuous period above 250 lx melEDI,Participant-day,112,640,640,Unavailable,8,Fitted
Midpoint of the brightest 10 hours,Participant-day,112,640,640,Unavailable,8,Fitted
Midpoint of the darkest 10 hours,Participant-day,112,640,640,Unavailable,8,Fitted
Mean timing of exposure above 250 lx melEDI,Participant-day,112,603,603,Unavailable,8,Fitted
First light timing above 250 lx melEDI,Participant-day,112,603,603,Unavailable,8,Fitted
Last light timing above 250 lx melEDI,Participant-day,112,603,603,Unavailable,8,Fitted
melEDI dose,Participant-day,112,640,640,Unavailable,8,Fitted
Melanopic daylight efficacy ratio,Participant-day,107,478,478,Unavailable,8,Fitted
