Metric,Unit,Participants,Days,Observations,Support hours,Sites,Status
Interdaily stability,Participant,0,0,0,Unavailable,0,Non estimable
Intradaily variability,Participant,0,0,0,Unavailable,0,Non estimable
Mean melEDI,Participant-day,112,643,643,14873.7,8,Fitted
Brightest 10 h mean,Participant-day,112,643,643,Unavailable,8,Fitted
Darkest 10 h mean,Participant-day,112,643,643,Unavailable,8,Fitted
"Time above 1,000 lx melEDI",Participant-day,112,643,643,14873.7,8,Fitted
Time above 250 lx melEDI during wake,Participant-day,112,578,578,7170.2,8,Fitted
Time below 10 lx melEDI before sleep,Participant-day,110,505,505,1479.2,8,Fitted
Time below 1 lx melEDI during sleep,Participant-day,112,608,608,4966.8,8,Fitted
Longest continuous period above 250 lx melEDI,Participant-day,112,643,643,14873.7,8,Fitted
Midpoint of the brightest 10 hours,Participant-day,112,643,643,Unavailable,8,Fitted
Midpoint of the darkest 10 hours,Participant-day,112,643,643,Unavailable,8,Fitted
Mean timing of exposure above 250 lx melEDI,Participant-day,112,573,573,13312.7,8,Fitted
First light timing above 250 lx melEDI,Participant-day,112,563,563,13055.3,8,Fitted
Last light timing above 250 lx melEDI,Participant-day,112,524,524,12226.6,8,Fitted
melEDI dose,Participant-day,112,598,598,13915.2,8,Fitted
Melanopic daylight efficacy ratio,Participant-day,107,489,489,7435.6,8,Fitted
