Scenario,Metric,Question,Raw p,FDR-adjusted p,adjusted_bold,Status
Near eye: all available,Interdaily stability,NA,0.004,0.006,TRUE,Pass
Near eye: all available,Interdaily stability,NA,0.376,0.533,FALSE,Pass
Near eye: all available,Interdaily stability,NA,0.003,0.007,TRUE,Pass
Near eye: all available,Intradaily variability,NA,0.479,0.479,FALSE,Pass
Near eye: all available,Intradaily variability,NA,0.046,0.088,FALSE,Pass
Near eye: all available,Intradaily variability,NA,0.827,0.827,FALSE,Pass
Near eye: all available,Mean melEDI,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Mean melEDI,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Mean melEDI,NA,0.003,0.008,TRUE,Pass
Near eye: all available,Brightest 10 h mean,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Brightest 10 h mean,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Brightest 10 h mean,NA,0.209,0.237,FALSE,Pass
Near eye: all available,Darkest 10 h mean,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Darkest 10 h mean,NA,0.012,0.030,TRUE,Pass
Near eye: all available,Darkest 10 h mean,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,"Time above 1,000 lx melEDI",NA,0.050,0.061,FALSE,Pass
Near eye: all available,"Time above 1,000 lx melEDI",NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,"Time above 1,000 lx melEDI",NA,0.543,0.709,FALSE,Pass
Near eye: all available,"Time above 1,000 lx melEDI",NA,0.034,0.045,TRUE,Pass
Near eye: all available,Time above 250 lx melEDI during wake,NA,0.003,0.006,TRUE,Pass
Near eye: all available,Time above 250 lx melEDI during wake,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Time above 250 lx melEDI during wake,NA,0.005,0.014,TRUE,Pass
Near eye: all available,Time above 250 lx melEDI during wake,NA,0.032,0.045,TRUE,Pass
Near eye: all available,Time below 10 lx melEDI before sleep,NA,0.029,0.041,TRUE,Pass
Near eye: all available,Time below 10 lx melEDI before sleep,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Time below 10 lx melEDI before sleep,NA,0.962,0.962,FALSE,Pass
Near eye: all available,Time below 10 lx melEDI before sleep,NA,0.017,0.028,TRUE,Pass
Near eye: all available,Time below 1 lx melEDI during sleep,NA,0.037,0.049,TRUE,Pass
Near eye: all available,Time below 1 lx melEDI during sleep,NA,0.174,0.174,FALSE,Pass
Near eye: all available,Time below 1 lx melEDI during sleep,NA,0.850,0.962,FALSE,Pass
Near eye: all available,Time below 1 lx melEDI during sleep,NA,0.022,0.034,TRUE,Pass
Near eye: all available,Longest continuous period above 250 lx melEDI,NA,0.375,0.398,FALSE,Pass
Near eye: all available,Longest continuous period above 250 lx melEDI,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Longest continuous period above 250 lx melEDI,NA,0.081,0.138,FALSE,Pass
Near eye: all available,Longest continuous period above 250 lx melEDI,NA,0.589,0.626,FALSE,Pass
Near eye: all available,Midpoint of the brightest 10 hours,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Midpoint of the brightest 10 hours,NA,0.002,0.008,TRUE,Pass
Near eye: all available,Midpoint of the brightest 10 hours,NA,0.005,0.009,TRUE,Pass
Near eye: all available,Midpoint of the darkest 10 hours,NA,<0.001,0.002,TRUE,Pass
Near eye: all available,Midpoint of the darkest 10 hours,NA,0.721,0.876,FALSE,Pass
Near eye: all available,Midpoint of the darkest 10 hours,NA,<0.001,0.002,TRUE,Pass
Near eye: all available,Mean timing of exposure above 250 lx melEDI,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Mean timing of exposure above 250 lx melEDI,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Mean timing of exposure above 250 lx melEDI,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,First light timing above 250 lx melEDI,NA,0.005,0.008,TRUE,Pass
Near eye: all available,First light timing above 250 lx melEDI,NA,0.360,0.533,FALSE,Pass
Near eye: all available,First light timing above 250 lx melEDI,NA,0.004,0.008,TRUE,Pass
Near eye: all available,Last light timing above 250 lx melEDI,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Last light timing above 250 lx melEDI,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Last light timing above 250 lx melEDI,NA,<0.001,0.002,TRUE,Pass
Near eye: all available,melEDI dose,NA,0.067,0.076,FALSE,Pass
Near eye: all available,melEDI dose,NA,0.031,0.066,FALSE,Pass
Near eye: all available,melEDI dose,NA,0.190,0.231,FALSE,Pass
Near eye: all available,Melanopic daylight efficacy ratio,NA,<0.001,<0.001,TRUE,Pass
Near eye: all available,Melanopic daylight efficacy ratio,NA,0.912,0.962,FALSE,Pass
Near eye: all available,Melanopic daylight efficacy ratio,NA,<0.001,<0.001,TRUE,Pass
