Site,Pointwise windows (fitted factor range)
Borås (SE),Higher 06:00:00–11:00:00 (2.04–4.64×); Higher 15:00:00–19:00:00 (1.80–2.73×)
Delft (NL),No 30-minute bin excluded 1
Dortmund (DE),Higher 05:30:00–07:30:00 (2.05–2.46×); Higher 16:30:00–21:00:00 (2.00–3.35×)
Tübingen (DE),Lower 05:30:00–06:30:00 (0.63–0.65×)
Munich (DE),Higher 06:00:00–07:00:00 (2.04–2.08×); Higher 17:00:00–21:30:00 (2.30–3.72×)
Madrid (ES),Lower 05:30:00–10:30:00 (0.15–0.46×); Lower 17:30:00–20:30:00 (0.40–0.57×)
Izmir (TR),Lower 06:00:00–08:30:00 (0.51–0.59×); Higher 21:00:00–24:00:00 (1.98–4.28×)
San José (CR),No 30-minute bin excluded 1
Kumasi (GH),Lower 05:30:00–07:00:00 (0.48–0.53×); Lower 11:30:00–23:00:00 (0.11–0.38×)
