run_id,placement,site,display_order,display_name,direction,start_clock_bin,end_clock_bin_exclusive,start_local_clock,end_local_clock,bins_30_minute,minimum_point_ratio,maximum_point_ratio,minimum_pointwise_lower,maximum_pointwise_upper
main__chest__all_available,Chest,RISE,1,Borås (SE),higher,360,1110,06:00,18:30,25,1.7111942881920634,3.6250325172354434,1.0654256595228373,6.656979063963363
main__chest__all_available,Chest,RISE,1,Borås (SE),lower,1260,1410,21:00,23:30,5,0.38443836849785684,0.5247185279115453,0.154335599123483,0.9576070589847893
main__chest__all_available,Chest,THUAS,2,Delft (NL),lower,300,450,05:00,07:30,5,0.5051675324045967,0.6285629519608983,0.30411701274373243,0.9876649032607936
main__chest__all_available,Chest,THUAS,2,Delft (NL),higher,960,1230,16:00,20:30,9,1.7007958588566796,2.204635599450854,1.0350633181632491,3.588434184368103
main__chest__all_available,Chest,BAUA,3,Dortmund (DE),higher,990,1200,16:30,20:00,7,1.865670689774951,2.3677693429548636,1.1447936597587154,3.61369354439998
main__chest__all_available,Chest,TUM,5,Munich (DE),higher,1050,1260,17:30,21:00,7,2.0313580230865056,2.8041096164350363,1.058754964085588,4.88188848413628
main__chest__all_available,Chest,TUM,5,Munich (DE),higher,1410,1440,23:30,24:00,1,3.9661719863816502,3.9661719863816502,1.1144327691064484,14.115270711369414
main__chest__all_available,Chest,FUSPCEU,6,Madrid (ES),lower,300,660,05:00,11:00,12,0.14120361460130873,0.5456793921356562,0.08581831370712265,0.9074948924582261
main__chest__all_available,Chest,FUSPCEU,6,Madrid (ES),lower,1050,1230,17:30,20:30,6,0.4425765350575167,0.6004082092768617,0.29431094245594625,0.9324435928865088
main__chest__all_available,Chest,IZTECH,7,Izmir (TR),higher,0,30,00:00,00:30,1,2.8845966019576963,2.8845966019576963,1.071673066919253,7.764399249060201
main__chest__all_available,Chest,IZTECH,7,Izmir (TR),lower,330,570,05:30,09:30,8,0.4565814588826387,0.6275827750496101,0.2652879288534405,0.9639063448305314
main__chest__all_available,Chest,IZTECH,7,Izmir (TR),higher,1200,1440,20:00,24:00,8,1.6056783353140827,5.0063257912469,1.0128054248276468,13.301863968690945
main__chest__all_available,Chest,UCR,8,San José (CR),higher,270,690,04:30,11:30,14,1.5040828955448673,6.650858487958914,1.0412359172276622,9.694149939275775
main__chest__all_available,Chest,UCR,8,San José (CR),lower,960,1200,16:00,20:00,8,0.43033383809822956,0.6666312875266766,0.30860361946364306,0.9309646500625686
main__chest__all_available,Chest,KNUST,9,Kumasi (GH),lower,720,1380,12:00,23:00,22,0.14035345941475066,0.444972667494385,0.08448519953511337,0.9359038411581659
main__glasses__all_available,Near-eye,RISE,1,Borås (SE),higher,360,660,06:00,11:00,10,2.0356073250088937,4.643529078667099,1.0543948430678107,10.55939491529296
main__glasses__all_available,Near-eye,RISE,1,Borås (SE),higher,900,1140,15:00,19:00,8,1.7998356870449221,2.7343165009364117,1.0195051767733116,5.709454731726673
main__glasses__all_available,Near-eye,BAUA,3,Dortmund (DE),higher,330,450,05:30,07:30,4,2.0495721655213437,2.463325163985702,1.2275266679515655,4.315537992822735
main__glasses__all_available,Near-eye,BAUA,3,Dortmund (DE),higher,990,1260,16:30,21:00,9,1.997822287326372,3.3530988958225327,1.0652998169729988,5.551702244206667
main__glasses__all_available,Near-eye,MPI,4,Tübingen (DE),lower,330,390,05:30,06:30,2,0.6294187425301473,0.6503748159400212,0.40670518283384877,0.981184680703947
main__glasses__all_available,Near-eye,TUM,5,Munich (DE),higher,360,420,06:00,07:00,2,2.038555185194309,2.080371937177414,1.0201809599619798,4.242333043695112
main__glasses__all_available,Near-eye,TUM,5,Munich (DE),higher,1020,1290,17:00,21:30,9,2.3007906804640568,3.7201362406608123,1.025174509325377,7.065212123194042
main__glasses__all_available,Near-eye,FUSPCEU,6,Madrid (ES),lower,330,630,05:30,10:30,10,0.14831657750075072,0.4648168756212651,0.08083561565827327,0.8699622137114157
main__glasses__all_available,Near-eye,FUSPCEU,6,Madrid (ES),lower,1050,1230,17:30,20:30,6,0.39544776617599536,0.5716387994959153,0.2488688161857471,0.9478363385363547
main__glasses__all_available,Near-eye,IZTECH,7,Izmir (TR),lower,360,510,06:00,08:30,5,0.5115513324441098,0.588311517147627,0.2711115940422556,0.991453942908574
main__glasses__all_available,Near-eye,IZTECH,7,Izmir (TR),higher,1260,1440,21:00,24:00,6,1.984345959717305,4.280937622157224,1.0065107477052575,14.802485790074904
main__glasses__all_available,Near-eye,KNUST,9,Kumasi (GH),lower,330,420,05:30,07:00,3,0.48320636647292126,0.5303486855061506,0.26847301285659736,0.9124789445249083
main__glasses__all_available,Near-eye,KNUST,9,Kumasi (GH),lower,690,1380,11:30,23:00,23,0.10984516572580122,0.3820935298866858,0.058103342778988674,0.9684520442580665
