Scenario,Placement,Participants / days / hours / rows / weighted hours,Stable named contrasts,"Maximum ratio change, %",F statistic (denominator df),Raw p
Exactly one category,Near-eye,"126 / 724 / 15,810 / 15,810 / 15,810",4/4,12.451088181445469,75.54 (125 df),<0.001
Exactly one category,Chest,"150 / 875 / 19,210 / 19,210 / 19,210",4/4,15.333368517840018,87.55 (149 df),<0.001
Retain co-selected Other,Near-eye,"126 / 724 / 16,526 / 17,333 / 16,526",4/4,1.0270854860097378,83.02 (125 df),<0.001
Retain co-selected Other,Chest,"150 / 875 / 20,128 / 21,190 / 20,128",4/4,1.2803726101921042,92.40 (149 df),<0.001
Exclude Other-only hours,Near-eye,"126 / 724 / 16,135 / 16,875 / 16,135",4/4,0.40860729823170017,83.54 (125 df),<0.001
Exclude Other-only hours,Chest,"150 / 875 / 19,497 / 20,440 / 19,497",4/4,0.9899889954881336,92.50 (149 df),<0.001
Unweighted long rows,Near-eye,"126 / 724 / 16,526 / 17,266 / 17,266",4/4,9.575396231183596,89.69 (125 df),<0.001
Unweighted long rows,Chest,"150 / 875 / 20,128 / 21,071 / 21,071",4/4,11.186090849439925,93.90 (149 df),<0.001
Gap-timing-unaware data,Near-eye,"126 / 710 / 16,242 / 16,961 / 16,242",4/4,2.584363982953941,78.17 (125 df),<0.001
Gap-timing-unaware data,Chest,"150 / 860 / 19,827 / 20,749 / 19,827",4/4,1.678804150156732,89.76 (149 df),<0.001
Placement-matched common sample,Near-eye,"110 / 625 / 14,308 / 15,001 / 14,308",4/4,4.75635521268023,77.83 (109 df),<0.001
Placement-matched common sample,Chest,"110 / 625 / 14,308 / 15,001 / 14,308",4/4,19.75278733597301,69.96 (109 df),<0.001
Working power 1.30,Near-eye,"126 / 724 / 16,526 / 17,266 / 16,526",4/4,7.2526139362986575,78.55 (125 df),<0.001
Working power 1.30,Chest,"150 / 875 / 20,128 / 21,071 / 20,128",4/4,3.881955537788573,83.96 (149 df),<0.001
Working power 1.80,Near-eye,"126 / 724 / 16,526 / 17,266 / 16,526",4/4,14.74218674453356,91.25 (125 df),<0.001
Working power 1.80,Chest,"150 / 875 / 20,128 / 21,071 / 20,128",4/4,14.900135265184025,103.15 (149 df),<0.001
Within/between participant,Near-eye,"126 / 724 / 16,526 / 17,266 / 16,526",4/4,16.779428679287346,67.17 (125 df),<0.001
Within/between participant,Chest,"150 / 875 / 20,128 / 21,071 / 20,128",4/4,13.305203180196637,77.86 (149 df),<0.001
