Scenario,Factor,MDER difference per LEBA SD (95% CI),Raw p,FDR-adjusted p,Exact fitted sample
All-available near eye,F2,+0.004 (-0.011–+0.020),0.586,0.766,137 participants; 687 participant-days; 9 sites
All-available near eye,F3,-0.003 (-0.018–+0.011),0.649,0.788,137 participants; 687 participant-days; 9 sites
All-available near eye,F4,-0.011 (-0.026–+0.005),0.160,0.398,137 participants; 687 participant-days; 9 sites
All-available near eye,F5,-0.020 (-0.036–-0.005),0.009,0.107,137 participants; 687 participant-days; 9 sites
All-available chest,F2,-0.002 (-0.042–+0.038),;,;,152 participants; 723 participant-days; 8 sites
All-available chest,F3,-0.013 (-0.051–+0.025),;,;,152 participants; 723 participant-days; 8 sites
All-available chest,F4,-0.019 (-0.057–+0.020),;,;,152 participants; 723 participant-days; 8 sites
All-available chest,F5,-0.017 (-0.057–+0.023),;,;,152 participants; 723 participant-days; 8 sites
Common-sample near eye,F2,+0.007 (-0.010–+0.024),;,;,107 participants; 478 participant-days; 8 sites
Common-sample near eye,F3,-0.000 (-0.017–+0.016),;,;,107 participants; 478 participant-days; 8 sites
Common-sample near eye,F4,-0.003 (-0.020–+0.014),;,;,107 participants; 478 participant-days; 8 sites
Common-sample near eye,F5,-0.020 (-0.037–-0.002),;,;,107 participants; 478 participant-days; 8 sites
Common-sample chest,F2,+0.010 (-0.010–+0.029),;,;,107 participants; 478 participant-days; 8 sites
Common-sample chest,F3,-0.007 (-0.026–+0.011),;,;,107 participants; 478 participant-days; 8 sites
Common-sample chest,F4,-0.003 (-0.023–+0.016),;,;,107 participants; 478 participant-days; 8 sites
Common-sample chest,F5,-0.017 (-0.037–+0.002),;,;,107 participants; 478 participant-days; 8 sites
