run_id,data_scenario_id,placement,sample_scenario,analytical_role,family_id,inferential_family,family_n,metric_order,metric_id,manuscript_name,analysis_unit,response_family,response_transform,effect_scale,factor_order,factor_id,factor_label,spearman_rho,conf_low,conf_high,interval_method,pairs,sites,metric_tied_participants,leba_tied_participants,represented_days,p_value_reported
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,0.0012291581906557299,-0.1569620231277706,0.15935884531528915,asymptotic_fisher_z_for_spearman,154,8,0,135,897,FALSE
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.0605670362254643,-0.21665232089335443,0.09853755401627019,asymptotic_fisher_z_for_spearman,154,8,0,137,897,FALSE
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,3,leba_f4,Controlling and using ambient light before bedtime,-0.023240350446081446,-0.1807366821348539,0.13541807423116972,asymptotic_fisher_z_for_spearman,154,8,0,137,897,FALSE
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,4,leba_f5,Using light in the morning and during daytime,0.16074260623606856,0.0026492924173698836,0.310996753869787,asymptotic_fisher_z_for_spearman,154,8,0,137,897,FALSE
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,1,leba_f2,Spending time outdoors,-0.12066675615639727,-0.27360573058412496,0.038223394381277295,asymptotic_fisher_z_for_spearman,154,8,0,135,897,FALSE
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.00687652727342697,-0.1648578956602143,0.15144885511505626,asymptotic_fisher_z_for_spearman,154,8,0,137,897,FALSE
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,3,leba_f4,Controlling and using ambient light before bedtime,0.03813390741589383,-0.12075506792013949,0.19511776391948288,asymptotic_fisher_z_for_spearman,154,8,0,137,897,FALSE
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,4,leba_f5,Using light in the morning and during daytime,0.10202843854639371,-0.05705288454049686,0.2560571408747326,asymptotic_fisher_z_for_spearman,154,8,0,137,897,FALSE
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,3,daily_geometric_mean_medi,Mean melEDI,participant_day,gaussian,log10_offset_0.1,ratio,1,leba_f2,Spending time outdoors,0.02190570796885781,-0.1367286723115731,0.179444667334499,asymptotic_fisher_z_for_spearman,154,8,0,135,897,FALSE
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,3,daily_geometric_mean_medi,Mean melEDI,participant_day,gaussian,log10_offset_0.1,ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.12091571748338172,-0.27383944878927946,0.037971113486732044,asymptotic_fisher_z_for_spearman,154,8,0,137,897,FALSE
