Metric,Instrument,Placement,Participants / days / observations / hours / sites
Midpoint of the brightest 10 hours,MCTQ MSFsc,Chest,153 / 896 / 896 / 20752.4 h / 8
Midpoint of the brightest 10 hours,MCTQ MSFsc,Near eye,140 / 810 / 810 / 18711.7 h / 9
Midpoint of the brightest 10 hours,MEQ,Chest,154 / 902 / 902 / 20891.8 h / 8
Midpoint of the brightest 10 hours,MEQ,Near eye,141 / 816 / 816 / 18851.0 h / 9
Midpoint of the darkest 10 hours,MCTQ MSFsc,Chest,153 / 896 / 896 / 20752.4 h / 8
Midpoint of the darkest 10 hours,MCTQ MSFsc,Near eye,140 / 810 / 810 / 18711.7 h / 9
Midpoint of the darkest 10 hours,MEQ,Chest,154 / 902 / 902 / 20891.8 h / 8
Midpoint of the darkest 10 hours,MEQ,Near eye,141 / 816 / 816 / 18851.0 h / 9
First light timing above 250 lx melEDI,MCTQ MSFsc,Chest,153 / 797 / 797 / 18518.4 h / 8
First light timing above 250 lx melEDI,MCTQ MSFsc,Near eye,139 / 722 / 722 / 16716.3 h / 9
First light timing above 250 lx melEDI,MEQ,Chest,154 / 802 / 802 / 18634.7 h / 8
First light timing above 250 lx melEDI,MEQ,Near eye,140 / 727 / 727 / 16832.5 h / 9
Last light timing above 250 lx melEDI,MCTQ MSFsc,Chest,153 / 783 / 783 / 18263.8 h / 8
Last light timing above 250 lx melEDI,MCTQ MSFsc,Near eye,140 / 683 / 683 / 15900.8 h / 9
Last light timing above 250 lx melEDI,MEQ,Chest,154 / 787 / 787 / 18358.1 h / 8
Last light timing above 250 lx melEDI,MEQ,Near eye,141 / 687 / 687 / 15995.0 h / 9
Midpoint of the longest continuous period above 250 lx melEDI,MCTQ MSFsc,Chest,149 / 547 / 547 / 12980.0 h / 8
Midpoint of the longest continuous period above 250 lx melEDI,MCTQ MSFsc,Near eye,131 / 478 / 478 / 11325.5 h / 9
Midpoint of the longest continuous period above 250 lx melEDI,MEQ,Chest,150 / 549 / 549 / 13027.8 h / 8
Midpoint of the longest continuous period above 250 lx melEDI,MEQ,Near eye,132 / 482 / 482 / 11419.8 h / 9
